avg_wind_speed,sol_rad,max_air_temp,min_air_temp,avg_air_temp,avg_rel_hum,avg_dewpt_temp,precip,pot_evapot,avg_soiltemp_4in_sod,OUTPUT
6.1,11.08,68.2,44.6,56.8,57.2,40.5,0,0.09,60.8,-6.7
5.8,2.3,56.6,49.1,52.3,84.6,47.5,0.83,0.02,60.1,-5.6
5.2,6.73,62.7,49.7,53.2,83.9,48.2,0.25,0.05,59.2,-3.3
4.3,2.1,50.4,45.8,48.6,94.2,46.9,0.59,0.01,57.4,-0.2
8.2,11.64,56.9,43.5,49.6,72.7,40.6,0.07,0.08,56.7,1.6
9.5,15.15,53.7,36.8,45.3,53.5,28.9,0.01,0.1,54.9,6.3
3,14,60.8,32.4,48.2,54.5,31.5,0,0.1,53.4,6.3
6.9,1.9,53.7,46.1,48.4,92.7,46,2.35,0.01,54.1,5.6
5.8,2.22,50.8,45.5,48.6,95.7,47.5,0.01,0.01,54.5,5.4
5.1,3.64,56.4,50.1,53.2,90.2,50.4,0.01,0.03,55.9,4.9
4.4,3.05,58.9,51.9,55.4,89,52.2,0,0.02,57.2,3.8
6.4,3.81,64.9,53.4,59.5,87.7,55.9,0.01,0.03,58.3,5.6
7.9,11.26,78.7,50.1,66.9,71.9,56.5,0.16,0.1,61.2,1.6
2.3,14.6,70.8,44.5,55.8,70,44.4,0,0.12,59.7,0.2
2.9,13.62,78.6,49.1,63.1,61.9,48.7,0,0.12,59.7,0.2
4.8,1.22,63.6,55.9,60.1,84,54.9,1.06,0.01,59.9,-1.3
4.3,2.63,63.7,56.2,59,91.3,56.5,0,0.02,60.8,-5.4
3.2,2.16,67.5,56.1,61.5,94.6,59.9,0.01,0.02,61,-29
8.5,11.16,81.3,65.8,73,78.8,65.7,0.33,0.1,63.9,-11.6
12.2,13.6,68.3,51.6,61,56.1,44.8,0.04,0.11,62.8,-10.3
3.3,10.47,68.1,45,56.8,61.4,42.8,0,0.08,59.9,-6.8
4,1.02,64.3,51.8,57.7,92.1,55.4,1.21,0.01,59.9,-8.3
7.4,1.96,55.7,42.2,48.7,86.3,44.8,0,0.01,58.6,-8.2
7,8.86,51.5,38.5,45,85.2,40.6,0.8,0.06,55.4,-3.8
0,0,52.4,40.1,32,0,32,0,0,32,19.6
5.3,13.17,55.3,32.7,44.4,58,29.7,0,0.09,52.3,-3.6
5.8,12.62,69.4,44.1,54.9,62.5,41.9,0,0.1,52.5,-5.6
7.1,12.2,63.2,44,53.6,53.2,35.2,0,0.1,53.1,-6
4.6,12.04,51.6,33.5,42.6,45.3,21.9,0,0.08,51.6,-3.4
5.7,11.99,58.8,34.2,47.1,53.1,30,0,0.08,50.4,0.3
6.9,8.7,64.5,45,54,60.7,40.5,0,0.07,51.6,2
10.3,1.13,53.7,40,46,79.6,39.9,0.19,0.01,51.6,3.1
9.6,11.64,48.4,31.4,39.6,64.1,27.3,0.02,0.07,48.7,6.2
7.5,12.08,49.1,28.4,39,64.9,27.3,0.01,0.07,46.9,7.2
5.1,9.5,53.3,32.4,41.9,70.1,32.5,0,0.06,47.1,4.9
2.9,7.53,58.3,36.3,47.7,71.3,38.5,0,0.05,48.2,3.1
4.9,3.49,59.1,49.2,53.2,81,47.5,0,0.03,50.7,1.1
4.6,7.29,73.9,55.6,61.2,81.3,55,0,0.06,53.6,-6.1
3.9,2.24,61.5,53.1,57.4,89.8,54.3,0.18,0.02,54.7,-11.5
3.8,1.72,55.3,52.8,53.8,94.1,52.2,0.15,0.01,54.9,-11.7
